transaction_id,customer_id,amount,transaction_date,region
TXN-001562,CUST-00288,1250.06,2024-08-25,N
TXN-000039,CUST-00493,101.01,2024-12-25,South
TXN-000423,CUST-00386,150.10,2024-02-18,West
TXN-004454,CUST-00035,113.13,2024-07-21,South
TXN-001040,CUST-00425,19.26,2024-08-02,East
TXN-000682,CUST-00040,468.50,2024-02-21,West
TXN-000719,CUST-00417,33.70,2025-05-27,Central
TXN-003067,CUST-00219,198.77,2025-10-06,West
TXN-002139,CUST-00198,337.05,2025-04-14,North
TXN-004236,CUST-00468,46.06,2024-01-09, East
TXN-000761,CUST-00260,34.28,2024-02-13,East
TXN-000084,CUST-00085,173.68,2025-07-07,West
TXN-001270,CUST-00148 ,30.20,2025-10-07,North
TXN-001720,CUST-00086,223.22,2024-02-07,West
TXN-000629,CUST-00252,1187.99,2025-08-02,North
TXN-004320,CUST-00273,99.00,2025-08-29,North
TXN-000843,CUST-00353,945.05,2025-05-08,South
TXN-001739,CUST-00378,279.78,2025-04-14,Central
TXN-002795,CUST-00310,43.27,2025-08-03,Central
TXN-002547,CUST-00319,1079.16,2025-08-08,East
TXN-004151,CUST-00298,172.06,2025-09-03,North
TXN-003999,CUST-00076,62.58,2025-01-07,east
TXN-002825,CUST-00307,100.44,2024-11-19,Central
TXN-002816,CUST-00012,84.31,2024-09-29,South
TXN-002535,CUST-00411,936.04,2025-07-31,Central
TXN-003179,CUST-00295,620.08,2025-12-27,Central
TXN-001474,CUST-403,362.67,2024-03-16,East
TXN-003874,CUST-00031,1134.74,2024-01-24,East
TXN-004866,CUST-00275,198.15,2025-07-22,North
TXN-001549,CUST-00076,354.35,2025-01-30,East
TXN-002390,CUST-00191,169.29,2024-01-16,West
TXN-003926, CUST-00110,179.55,2024-02-01,South
TXN-002442,CUST-00116,230.27,2024-01-07,East
TXN-001357,CUST-00066,114.27,2025-02-12,South
TXN-002304,CUST-00022,30.77,2025-03-11,South
TXN-002451,CUST-00351,44.46,2025-08-14,Central
TXN-000489,CUST-00273,1268.51,2025-01-05,North
TXN-001802,CUST-00168,137.89,2025-03-06,West
TXN-002009,CUST-00480,857.57,2024-07-17,North
TXN-000367,CUST-00009,45.19,2024-06-07,South
TXN-001467,CUST-00498,167.64,2025-01-07,West
TXN-001876,CUST-00490,324.05,2024-03-23,East
TXN-000634,cust-00184,90.94,2025-01-20,South
TXN-001883,CUST-00121,560.71,2025-01-17,West
TXN-001975,CUST-00434,40.22,2025-07-16,South
TXN-001920,CUST-00466,92.73,21/10/2025,East
TXN-004655,CUST-00488,111.12,2025-11-24,East
TXN-002996,CUST-00219,19.25,2024-06-22,West
TXN-001452,CUST-00344,252.03,2024-12-29,North
TXN-000622,CUST-00210,503.11,2024-02-04,North
TXN-001228,CUST-00271,788.38,2024-04-01,South
TXN-003202,CUST-00412,627.19,2025-02-12,South
TXN-002527,CUST-00076,419.09,2024-03-02,East
TXN-001516,CUST-00143,891.41,2025-11-15,North
TXN-004095,CUST-00411,171.20,2025-04-11,Central
TXN-003261,CUST-00103,190.11,2025-03-17,West
TXN-002571,CUST-00154,26.94,2025-12-01,Central
TXN-003472,CUST-00424,98.68,2024-08-05,South
TXN-001348,CUST-00010,36.38,2024-09-05,East
TXN-000744,CUST-00398,318.59,2025-11-14,Central
TXN-000222,CUST-00064,758.72,2025-09-11,West
TXN-000023,cust-00446,110.12,2024-09-29,West
TXN-004169,CUST-00396,770.24,2025-08-23,West
TXN-000997,CUST-00354,496.68,2025-12-20,North
TXN-004979,CUST-00040,356.15,2025-01-03,north
TXN-001104,CUST-00342,125.94,2025-01-16,East
TXN-001049,CUST-00334,1018.31,2024-11-27,West
TXN-004981,CUST-00007,23.59,2025-11-14,Central
TXN-003642,CUST-00444,102.91,2025-03-13,West
TXN-001042,CUST-00425,27.79,2024-11-20,East
TXN-002719,CUST-00004,91.90,2024-02-03,Central
TXN-004111,CUST-93453,39.64,2025-03-05,Central
TXN-001135,CUST-00146,19.24,2024-07-16,Central
TXN-004989,CUST-00484,224.25,2025-06-27,South
TXN-002452,CUST-00099,92.35,2024-03-08,Central
TXN-004174,CUST-00335,29.92,2024-08-04,West
TXN-003701,CUST-00223,16.39,2024-10-08,west
TXN-000854,CUST-00500,1149.46,2025-03-11,East
TXN-000714,CUST-00221,456.71,2025-03-12,North
TXN-003522,CUST-00080,518.94,2025-12-21,East
TXN-002548,CUST-00035,90.52,2024-06-11,South 
TXN-000532,CUST-00074,42.91,2025-03-25,Central
TXN-003713,CUST-00065,116.07,2025-10-17,North
TXN-001997,CUST-00384,19.73,2025-10-04,South
TXN-003168,CUST-00116,109.19,2024-05-10,East
TXN-001879,CUST-00474,148.31,2025-07-16,South
TXN-004586,CUST-00225,49.92,2024-06-21,Central
TXN-000963,CUST-00234,15.85,2025-10-18,East
TXN-002763,CUST-00282,259.79,2024-10-12,Central
TXN-003043,CUST-00476,125.04,2025-05-07,North
TXN-000897,CUST-00141,20.00,2024-02-10,East
TXN-001065,CUST-00126,978.71,2025-08-28,Central
TXN-004892,CUST-00170,307.73,2024-07-22,South
TXN-001191,CUST-00045,337.81,2025-12-17,West
TXN-001888,CUST-00333,701.93,2024-08-04,
TXN-004851,CUST-00156,55.26,2024-06-03,north
TXN-004277,CUST-00007,256.50,2024-10-11,Central
TXN-001254,CUST-00372,512.60,2025-06-16,West
TXN-002791,CUST-00210,104.63,2024-03-19,North
TXN-002780,CUST-00158,50.70,2024-02-08,West
TXN-001198,CUST-00420,686.36,2024-10-20,North
TXN-000458,CUST-00026,64.81,2024-02-26,East
TXN-003569,CUST-00085,106.45,2025-07-25,West
TXN-002808,CUST-00387,21.94,2025-07-01,North
TXN-002515,CUST-00414,1435.33,2024-02-23,North
TXN-001494,CUST-00061,269.66,2025-11-17,North
TXN-002980,CUST-00364,108.39,2025-02-01,South
TXN-002922,CUST-00204,53.90,2025-06-03,South
TXN-004739,CUST-00108,41.52,2025-11-29,East
TXN-000607,CUST-00495,1026.31,2024-04-01,South
TXN-001965,CUST-00074,307.78,2025-12-27,Central
TXN-004399,CUST-00027,45.98,2024-01-30,East
TXN-000968,CUST-00177,245.96,2025-09-24,North
TXN-004831,CUST-00078,513.03,2025-07-05,Central
TXN-004825,CUST-00300,134.39,2025-11-14,West
TXN-003409,CUST-00264,287.18,2024-05-07,Central
TXN-001651,CUST-00153,62.80,2025-10-27,East
TXN-003353,CUST-00055,544.22,2024-05-18,West
TXN-003464,CUST-00464,203.53,2024-11-27,SOUTH
TXN-004718,CUST-00402,95.31,2025-10-14,Central
TXN-001958,CUST-00177,498.39,2024-04-04,North
TXN-004517,CUST-00495,33.35,2024-12-07,South
TXN-004512,CUST-00059,845.49,2025-05-06,Central
TXN-003455,CUST-00104,113.78,2025-01-30,West
TXN-002733,CUST-00440,81.99,2024-02-04,S
TXN-002245,CUST-00174,97.22,2024-10-05,South
TXN-001238,CUST-00417,507.42,2025-01-03,Central
TXN-004431,CUST-00226,391.04,2024-05-18,West
TXN-004542,CUST-00226,495.97,2024-06-19,West
TXN-000746,CUST-00282,75.81,2025-06-21,Central
TXN-003809,CUST-00145,44.72,2025-09-11,Central
TXN-002668,CUST-00046,442.70,2025-10-28,North
TXN-004573,CUST-00484,88.38,2024-12-16,South
TXN-004271,CUST-00444,40.06,2025-05-13,West
TXN-004313,CUST-00176,157.84,2024-10-15,North
TXN-003281,CUST-00020,1119.44,2025-07-23,West
TXN-001320,CUST-00015,996.66,2024-12-22,
TXN-000710,CUST-00406,1237.80,2025-09-18,Central
TXN-003896,CUST-00080,463.48,2025-04-24,East
TXN-002039,CUST-00317,735.90,2024-04-04,South
TXN-004336,CUST-00471,206.70,2025-07-17,central
TXN-003088,CUST-00013,73.38,2024-10-17,North
TXN-001618,CUST-00038,376.02,2025-03-31,South
TXN-003830,CUST-00040,94.20,2024-02-04,North
TXN-000361,CUST-00054,85.71,2025-11-24,SOUTH
TXN-004417,CUST-00103,478.83,2025-07-08,West
TXN-001892,CUST-00349,195.38,2025-03-02,East
TXN-000645,CUST-00401,15.95,2025-06-20,Central
TXN-002419,CUST-00398,190.62,2024-03-23,Central
TXN-002880,CUST-00273,54.31,2025-08-19,North
TXN-002916,CUST-00042,32.08,2025-10-27,WEST
TXN-002800,cust-00022,50.60,2024-12-13,South
TXN-000813,CUST-00420,201.29,2024-12-19,North
TXN-003643,CUST-00012,36.22,2025-10-12,south
TXN-002410,CUST-00335,494.64,2024-01-18,West
TXN-000954,CUST-00310,39.25,2024-03-18,Central
TXN-003587,CUST-00044,214.25,2024-05-03,East
TXN-000217,CUST-00014,45.79,2025-10-26,West
TXN-004281,CUST-00406,450.92,2024-12-11,Central
TXN-001174,CUST-00119,47.95,2024-04-30,East
TXN-004527,CUST-00074,541.73,2025-01-21,Central
TXN-003194,CUST-00075,110.96,2024-10-21,West
TXN-004514,CUST-00131,148.60,2024-08-13,East
TXN-003657,CUST-00233,819.03,2025-05-06,South
TXN-002848,cust-00252,37.58,2025-05-24,North
TXN-004291,cust-00353,997.67,2024-12-29,South
TXN-002319,CUST-00288,,2025-07-29,North
TXN-003963,CUST-00085,73.97,2024-10-09,West
TXN-001914,CUST-00055,1169.17,2025-06-09,West
TXN-001509,CUST-00388,532.21,2025-09-16,west
TXN-004183,CUST-00411,18.41,2024-03-11,Central
TXN-004005,CUST-00103,48.76,2024-04-09,West
